tweet_id,user_id,username,screenname,followers_count,friends_count,listed_count,favourites_count,geo_enabled,following,location,text,created_at,place,coordinates,geo,favorited,favorite_count,retweeted,retweet_count,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,contributors,source,truncated,hashtags,urls,symbols,user_mentions
636443915361501184,530921440,BlacklandPR,blacklandpr,143,470,4,26,True,False,New Zealand,Thanks @kendallflutey. Our pleasure to shout drinks at #wyfc cocktails with @NathanGuyOtaki.,2015-08-26 07:43,"Place(_api=<tweepy.api.API object at 0x104bf9990>, country_code=u'NZ', url=u'https://api.twitter.com/1.1/geo/id/013b5456649606dc.json', country=u'New Zealand', place_type=u'city', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x104bf9990>, type=u'Polygon', coordinates=[[[174.613106, -41.36238], [174.895401, -41.36238], [174.895401, -41.143499], [174.613106, -41.143499]]]), contained_within=[], full_name=u'Wellington City, New Zealand', attributes={}, id=u'013b5456649606dc', name=u'Wellington City')","{u'type': u'Point', u'coordinates': [174.7791164, -41.2785649]}","{u'type': u'Point', u'coordinates': [-41.2785649, 174.7791164]}",False,0,False,0,kendallflutey,636430529814904832,282834058,,Twitter for Android,False,"[{u'indices': [55, 60], u'text': u'wyfc'}]",[],[],"[{u'id': 282834058, u'indices': [7, 21], u'id_str': u'282834058', u'screen_name': u'kendallflutey', u'name': u'Kendall Flutey'}, {u'id': 1132212984, u'indices': [76, 91], u'id_str': u'1132212984', u'screen_name': u'NathanGuyOtaki', u'name': u'Nathan Guy'}]"
636443826064891904,912447782,Earthquake Report,Quake_Tracker,389,2,24,0,True,False,World,Mag: 1.7 - Depth: 24 km - UTC 7:39 AM - Wellington - GEONET Info: http://t.co/N8bF4aXI10,2015-08-26 07:43,"Place(_api=<tweepy.api.API object at 0x104bf9990>, country_code=u'NZ', url=u'https://api.twitter.com/1.1/geo/id/0097c05b3189d730.json', country=u'New Zealand', place_type=u'city', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x104bf9990>, type=u'Polygon', coordinates=[[[174.959062, -41.61375], [175.809772, -41.61375], [175.809772, -40.921087], [174.959062, -40.921087]]]), contained_within=[], full_name=u'South Wairarapa District, New Zealand', attributes={}, id=u'0097c05b3189d730', name=u'South Wairarapa District')","{u'type': u'Point', u'coordinates': [174.997, -41.3547]}","{u'type': u'Point', u'coordinates': [-41.3547, 174.997]}",False,0,False,0,,,,,QuakeSOS,False,[],"[{u'url': u'http://t.co/N8bF4aXI10', u'indices': [66, 88], u'expanded_url': u'http://wp.me/p1bAUO-F3k', u'display_url': u'wp.me/p1bAUO-F3k'}]",[],[]
636443697794576384,394278994,Richard Busby,buzzyNZ,587,848,26,1872,True,False,"Wellington, New Zealand",RT @luxlightswan: Graffiti Light Swan #wgtnlux twirling along opera lane http://t.co/Py0oZqnUgz,2015-08-26 07:42,,,,False,0,False,2,,,,,Twitter for iPhone,False,"[{u'indices': [38, 46], u'text': u'wgtnlux'}]",[],[],"[{u'id': 3244689080, u'indices': [3, 16], u'id_str': u'3244689080', u'screen_name': u'luxlightswan', u'name': u'LightSwan'}]"
636443543301656576,114162222,Tasha Hohaia,tashahohaia,552,772,2,365,True,False,"Auckland, Aotearoa",We be singing 🎶 Wahine Wellness #shebebeautiful 🌸 @ West Auckland Healthcare - Wai Health Clinic https://t.co/vuDlWkJNpl,2015-08-26 07:42,"Place(_api=<tweepy.api.API object at 0x104bf9990>, country_code=u'NZ', url=u'https://api.twitter.com/1.1/geo/id/0022e3c837579650.json', country=u'New Zealand', place_type=u'city', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x104bf9990>, type=u'Polygon', coordinates=[[[174.162124, -37.292418], [175.551257, -37.292418], [175.551257, -35.898837], [174.162124, -35.898837]]]), contained_within=[], full_name=u'Auckland City, New Zealand', attributes={}, id=u'0022e3c837579650', name=u'Auckland City')","{u'type': u'Point', u'coordinates': [174.63266886, -36.88212055]}","{u'type': u'Point', u'coordinates': [-36.88212055, 174.63266886]}",False,0,False,0,,,,,Instagram,False,"[{u'indices': [34, 49], u'text': u'shebebeautiful'}]","[{u'url': u'https://t.co/vuDlWkJNpl', u'indices': [99, 122], u'expanded_url': u'https://instagram.com/p/61q4HfNTSd/', u'display_url': u'instagram.com/p/61q4HfNTSd/'}]",[],[]
636442985744494592,63546524,Mint Dining ,mintdiningroom,519,488,22,323,True,False,"Nelson, New Zealand","Coromandel scallops, golden bay crab cigars, pico de gallo, Thai curry foam #foodgasm #foodporn… https://t.co/OVXsOwP0Wo",2015-08-26 07:40,"Place(_api=<tweepy.api.API object at 0x104bf9990>, country_code=u'NZ', url=u'https://api.twitter.com/1.1/geo/id/00a292d40bb23c59.json', country=u'New Zealand', place_type=u'city', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x104bf9990>, type=u'Polygon', coordinates=[[[173.189641, -41.393431], [173.598759, -41.393431], [173.598759, -41.053211], [173.189641, -41.053211]]]), contained_within=[], full_name=u'Nelson City, New Zealand', attributes={}, id=u'00a292d40bb23c59', name=u'Nelson City')","{u'type': u'Point', u'coordinates': [173.2877655, -41.2734604]}","{u'type': u'Point', u'coordinates': [-41.2734604, 173.2877655]}",False,0,False,0,,,,,Instagram,False,"[{u'indices': [76, 85], u'text': u'foodgasm'}, {u'indices': [86, 95], u'text': u'foodporn'}]","[{u'url': u'https://t.co/OVXsOwP0Wo', u'indices': [97, 120], u'expanded_url': u'https://instagram.com/p/61qoDKCLup/', u'display_url': u'instagram.com/p/61qoDKCLup/'}]",[],[]
636442907457777664,147864859,Kevin Meneses,EngrKebin,1088,656,15,25607,True,False,"Auckland, New Zealand","I missed this! Hah (@ AUT University Sport+Fitness Centre, North Shore Campus in Auckland) https://t.co/0fwJN2rQ4a http://t.co/WAcffUzN49",2015-08-26 07:39,"Place(_api=<tweepy.api.API object at 0x104bf9990>, country_code=u'NZ', url=u'https://api.twitter.com/1.1/geo/id/0022e3c837579650.json', country=u'New Zealand', place_type=u'city', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x104bf9990>, type=u'Polygon', coordinates=[[[174.162124, -37.292418], [175.551257, -37.292418], [175.551257, -35.898837], [174.162124, -35.898837]]]), contained_within=[], full_name=u'Auckland City, New Zealand', attributes={}, id=u'0022e3c837579650', name=u'Auckland City')","{u'type': u'Point', u'coordinates': [174.75687193, -36.79662487]}","{u'type': u'Point', u'coordinates': [-36.79662487, 174.75687193]}",False,0,False,0,,,,,Foursquare,False,[],"[{u'url': u'https://t.co/0fwJN2rQ4a', u'indices': [91, 114], u'expanded_url': u'https://www.swarmapp.com/c/deCd74PJ89Z', u'display_url': u'swarmapp.com/c/deCd74PJ89Z'}]",[],[]
636442400458702848,130726770,widi,weedeeblue,328,560,10,316,True,False,Canggu-Bali,"Dinginnya Rotorua!!! (@ Executive On Fenton in Glenholme, Bay Of Plenty) https://t.co/dq0x1PyNfs",2015-08-26 07:37,"Place(_api=<tweepy.api.API object at 0x104bf9990>, country_code=u'NZ', url=u'https://api.twitter.com/1.1/geo/id/00fad3c14698a33e.json', country=u'New Zealand', place_type=u'city', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x104bf9990>, type=u'Polygon', coordinates=[[[175.981665, -38.568503], [176.615176, -38.568503], [176.615176, -37.937087], [175.981665, -37.937087]]]), contained_within=[], full_name=u'Rotorua District, New Zealand', attributes={}, id=u'00fad3c14698a33e', name=u'Rotorua District')","{u'type': u'Point', u'coordinates': [176.25330964, -38.14761851]}","{u'type': u'Point', u'coordinates': [-38.14761851, 176.25330964]}",False,0,False,0,,,,,Foursquare,False,[],"[{u'url': u'https://t.co/dq0x1PyNfs', u'indices': [73, 96], u'expanded_url': u'https://www.swarmapp.com/c/4W3YNG9kASI', u'display_url': u'swarmapp.com/c/4W3YNG9kASI'}]",[],[]
636442194245718016,30096558,Jayson Kingsbeer,jaysonkingsbeer,2732,931,150,1470,True,False,"Auckland, New Zealand",Rescue mission (@ The Parenting Place in Auckland) https://t.co/f4FYovLZYW,2015-08-26 07:36,"Place(_api=<tweepy.api.API object at 0x104bf9990>, country_code=u'NZ', url=u'https://api.twitter.com/1.1/geo/id/0022e3c837579650.json', country=u'New Zealand', place_type=u'city', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x104bf9990>, type=u'Polygon', coordinates=[[[174.162124, -37.292418], [175.551257, -37.292418], [175.551257, -35.898837], [174.162124, -35.898837]]]), contained_within=[], full_name=u'Auckland City, New Zealand', attributes={}, id=u'0022e3c837579650', name=u'Auckland City')","{u'type': u'Point', u'coordinates': [174.79277459, -36.88901444]}","{u'type': u'Point', u'coordinates': [-36.88901444, 174.79277459]}",False,0,False,0,,,,,Foursquare,False,[],"[{u'url': u'https://t.co/f4FYovLZYW', u'indices': [51, 74], u'expanded_url': u'https://www.swarmapp.com/c/lg3vm78BldD', u'display_url': u'swarmapp.com/c/lg3vm78BldD'}]",[],[]
636441951957598208,51664154,Sonya Cole,sonyacole,871,705,40,5108,True,False,"Taranaki, New Zealand",Home 💕 (@ Cervidae Castle in New Plymouth) https://t.co/v9WemyBSIh,2015-08-26 07:36,"Place(_api=<tweepy.api.API object at 0x104bf9990>, country_code=u'NZ', url=u'https://api.twitter.com/1.1/geo/id/0039fa2e2572f01a.json', country=u'New Zealand', place_type=u'city', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x104bf9990>, type=u'Polygon', coordinates=[[[173.818785, -39.296046], [174.862895, -39.296046], [174.862895, -38.706417], [173.818785, -38.706417]]]), contained_within=[], full_name=u'New Plymouth District, New Zealand', attributes={}, id=u'0039fa2e2572f01a', name=u'New Plymouth District')","{u'type': u'Point', u'coordinates': [174.08544317, -39.06184982]}","{u'type': u'Point', u'coordinates': [-39.06184982, 174.08544317]}",False,1,False,0,,,,,Foursquare,False,[],"[{u'url': u'https://t.co/v9WemyBSIh', u'indices': [43, 66], u'expanded_url': u'https://www.swarmapp.com/c/cqt0oMxjNvc', u'display_url': u'swarmapp.com/c/cqt0oMxjNvc'}]",[],[]
636441767307403264,26840846,beckygate,gamerswift,388,1128,19,23950,True,False,"Christchurch City, New Zealand",I wish I could explain why I hate having physical copies of games but love physical copies of music. I don't even use the damn things.,2015-08-26 07:35,"Place(_api=<tweepy.api.API object at 0x104bf9990>, country_code=u'NZ', url=u'https://api.twitter.com/1.1/geo/id/0064261b68b40574.json', country=u'New Zealand', place_type=u'city', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x104bf9990>, type=u'Polygon', coordinates=[[[172.363538, -43.902982], [173.132598, -43.902982], [173.132598, -43.389889], [172.363538, -43.389889]]]), contained_within=[], full_name=u'Christchurch City, New Zealand', attributes={}, id=u'0064261b68b40574', name=u'Christchurch City')","{u'type': u'Point', u'coordinates': [172.60079374, -43.49353603]}","{u'type': u'Point', u'coordinates': [-43.49353603, 172.60079374]}",False,0,False,0,,,,,Twitter for Android Tablets,False,[],[],[],[]
